"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"2018","Cesar Hernandez","PHI","161","708","15","91","60","19",".109",".315",".253",".356",".362",".320","100","0.1","-0.3","-2.1","2.0","153","120","15","3","95","4","155","4","3","1","12","19","6",".320","3.2","86","10556","514917"
"1874","Mike McGeary","PHN","54","272","0","61","22","10",".052",".323",".321",".324",".373",".320","110","0.9","5.9","7.1","1.9","87","75","10","2","1","","2","","","","","10","2",".320","9.0","58","1008506","118689"
"1877","Joe Gerhardt","LOU","59","255","1","41","35","",".076",".311",".304",".318",".380",".320","105","0.0","1.8","13.1","2.3","76","64","6","5","5","","8","","","","","","",".320","6.2","43","1004629","114714"
"1987","Mel Hall","CLE","142","508","18","57","76","5",".159",".294",".280",".309",".439",".320","92","-0.9","-5.9","-1.5","1.0","136","96","21","1","20","6","68","1","2","0","7","5","4",".320","-2.4","60","1005259","115348"
"1905","Claude Ritchey","PIT","153","596","0","54","52","12",".077","",".255",".324",".332",".320","95","-1.6","-5.1","12.1","2.9","136","101","29","6","51","","","3","","9","","12","",".320","5.1","68","1010987","121232"
"1926","Mark Koenig","NYY","147","678","5","93","62","4",".092",".282",".271",".319",".363",".320","80","-1.6","-20.0","0.7","0.7","167","128","26","8","43","","37","1","","17","","4","3",".320","-13.9","72","1007077","117230"
"1920","Butler White","COG","35","137","1","13","19","0",".123","",".262",".299",".385",".320","98","0.2","-0.1","-3.5","0.1","34","24","5","4","6","","","1","","3","","0","",".320","-1.3","15","1016712",""
"1892","Ed McKean","CLE","129","581","0","76","93","19",".064",".276",".262",".325",".326",".320","95","-1.8","-6.0","-3.0","1.1","139","115","14","10","49","","28","1","","","","19","",".320","1.4","79","1008581","118765"
"1879","Hardy Richardson","BUF","79","352","0","54","37","",".113",".310",".283",".315",".396",".320","122","0.0","11.1","4.4","2.5","95","67","18","10","16","","30","","","","","","",".320","13.3","62","1010909","121153"
"1900","Bobby Lowe","BSN","127","514","3","65","71","15",".063","",".278",".323",".342",".320","80","-1.0","-15.8","0.0","0.4","132","113","11","5","26","","","5","","9","","15","",".320","-7.8","62","1007786","117959"
"1889","Reddy Mack","BAL","136","587","1","84","87","23",".079",".276",".241",".329",".320",".320","92","-2.0","-9.9","-8.5","0.3","125","93","24","7","60","","69","8","","","","23","",".320","-6.5","84","1007927","118087"
"1911","Willie Hogan","- - -","130","526","2","54","64","18",".087","",".253",".320",".340",".320","87","0.0","-8.9","-2.2","0.7","117","89","18","8","43","","","2","","19","","18","",".320","-6.3","56","1005925","116047"
"1978","Lamar Johnson","CHW","148","551","8","52","72","6",".102",".284",".273",".329",".376",".320","98","-0.6","-1.8","-5.6","1.1","136","103","23","2","43","2","46","2","7","1","17","6","5",".320","1.0","61","1006481","116606"
"1913","Otto Knabe","PHI","148","660","2","70","53","14",".079",".273",".263",".320",".342",".320","85","-1.6","-13.3","7.0","1.7","150","116","25","7","45","","26","3","","41","","14","",".320","-2.3","69","1007024","117176"
"2023","Seiya Suzuki","CHC","97","408","11","45","41","5",".156",".316",".253",".328",".408",".320","100","-1.4","-1.2","-0.9","1.2","91","60","17","3","41","1","101","2","5","0","7","5","6",".320","0.6","50","30116","673548"
"2019","Adam Frazier","PIT","152","608","10","80","50","5",".139",".306",".278",".336",".417",".320","97","0.7","-2.0","10.5","2.7","154","104","33","7","40","4","75","9","1","4","6","5","5",".320","0.0","77","15223","624428"
"1939","Babe Dahlgren","NYY","144","603","15","71","89","2",".141",".238",".235",".312",".377",".320","79","-1.4","-19.7","-4.2","-0.1","125","86","18","6","57","","54","2","","13","15","2","3",".320","-10.5","65","1002925","112992"
"1912","Harry Hooper","BOS","147","684","2","98","53","29",".085","",".242",".326",".327",".320","90","0.9","-7.3","-4.3","1.1","143","109","20","12","66","","","7","","21","","29","",".320","-8.5","73","1006002","116127"
"1993","Eric Anthony","HOU","145","540","15","70","66","3",".148",".275",".249",".319",".397",".320","97","-1.4","-3.1","5.4","2.1","121","83","19","4","49","2","88","2","2","0","9","3","5",".320","-2.9","62","1000273","110285"
"1981","Carl Yastrzemski","BOS","91","390","7","36","53","0",".109",".248",".246",".338",".355",".320","98","-0.4","-1.4","-5.4","0.5","83","61","14","1","49","4","28","0","3","0","10","0","1",".320","1.7","43","1014326","124650"
"1909","Heinie Wagner","BOS","124","477","1","53","49","18",".077","",".256",".316",".333",".320","104","0.3","2.0","10.6","3.0","110","86","16","7","35","","","3","","9","","18","",".320","4.2","50","1013483","123779"
"1882","George Wood","DET","84","389","7","69","29","",".152",".278",".269",".296",".421",".320","120","0.0","11.3","-4.2","1.9","101","70","12","12","14","","30","","","","","","",".320","13.2","68","1014217","124531"
"1889","Pop Corkhill","BRO","138","582","8","91","78","22",".117",".250",".250",".308",".367",".320","93","-1.4","-7.8","1.3","1.6","134","96","21","9","42","","24","3","","","","22","",".320","-6.4","83","1002629","112688"
"2001","Roger Cedeno","DET","131","572","6","79","48","55",".103",".335",".293",".337",".396",".320","97","4.5","2.3","-25.3","-0.4","153","122","14","11","36","1","83","2","5","6","5","55","15",".320","-3.5","67","869","112155"
"2014","Nori Aoki","KCR","132","549","1","63","43","17",".075",".314",".285",".349",".360",".320","102","2.2","3.5","-3.9","1.9","140","111","22","6","43","0","49","6","1","8","5","17","8",".320","4.2","63","13075","493114"
"1970","Mike Hegan","MIL","148","556","11","70","52","9",".122",".297",".244",".336",".366",".320","97","-0.8","-3.0","6.3","2.1","116","82","21","2","67","3","116","1","4","8","9","9","7",".320","0.4","63","1005583","115698"
"1939","Harry Craft","CIN","134","537","13","58","67","5",".145",".267",".257",".299",".402",".320","86","0.6","-8.8","1.3","1.0","129","89","20","7","27","","54","3","","5","6","5","",".320","-9.4","58","1002718","112777"
"1999","Marquis Grissom","MIL","154","661","20","92","83","24",".148",".294",".267",".320",".415",".320","83","2.1","-13.2","-7.8","0.0","161","113","27","1","49","4","109","0","5","4","12","24","6",".320","-11.9","74","652","115174"
"1945","Alphonso Gerard","NBY","26","102","0","12","6","0",".078","",".244",".333",".322",".320","86","-0.1","-1.8","-7.1","-0.5","22","16","5","1","12","0","","0","","3","","0","",".320","-0.6","11","1015239",""
"1988","Jesse Barfield","TOR","137","520","18","62","56","7",".182",".276",".244",".302",".425",".320","99","-0.1","-0.7","15.5","3.2","114","70","21","5","41","6","108","1","6","4","10","7","3",".320","3.1","60","1000537","110559"
"2001","Placido Polanco","STL","144","610","3","87","38","12",".076",".328",".307",".342",".383",".320","92","1.1","-5.3","25.9","4.0","173","140","26","4","25","0","43","6","1","14","22","12","3",".320","-3.7","72","1176","135784"
"2003","Joe Crede","CHW","151","580","19","68","75","1",".172",".271",".261",".308",".433",".320","90","-1.6","-8.6","9.1","2.0","140","88","31","2","32","1","75","6","4","2","11","1","1",".320","-3.8","67","227","150317"
"1958","Eddie Yost","WAS","134","503","8","55","37","3",".099",".230",".224",".361",".323",".320","95","-1.4","-4.3","-3.9","0.8","91","67","16","0","81","2","43","9","6","1","9","3","6",".320","0.0","57","1014357","124682"
"1877","John Peters","CHI","60","266","0","45","41","",".060",".326",".317",".320",".377",".320","109","0.0","3.7","8.7","2.0","84","71","10","3","1","","7","","","","","","",".320","6.4","45","1010232","120456"
"2013","Daniel Murphy","NYM","161","697","13","92","78","23",".129",".315",".286",".319",".415",".320","106","6.8","11.7","-3.7","3.1","188","133","38","4","32","2","95","2","5","0","13","23","3",".320","3.3","80","4316","502517"
"1978","Dusty Baker","LAD","149","579","11","62","66","12",".113",".281",".262",".325",".375",".320","101","1.3","1.7","1.5","2.3","137","101","24","1","47","2","66","3","3","4","10","12","3",".320","1.0","64","1000450","110481"
"2004","Jose Valentin","CHW","125","504","30","73","70","8",".258",".237",".216",".287",".473",".320","88","0.7","-7.0","12.4","2.2","97","44","20","3","43","4","139","3","2","6","5","8","6",".320","-4.4","58","256","123610"
"1942","Howard Easterling","HG","50","203","4","31","22","1",".124","",".242",".305",".366",".320","96","0.1","-0.8","-0.2","0.6","45","32","7","2","17","","","","","5","","1","",".320","-0.4","22","1015095",""
"1888","Pop Corkhill","- - -","137","586","2","85","93","30",".080","",".285",".316",".365",".320","110","-2.4","5.4","3.4","3.1","160","131","15","12","19","","","6","","","","30","",".320","12.5","89","1002629","112688"
"2008","Jeremy Hermida","FLA","142","559","17","74","61","6",".157",".310",".249",".323",".406",".320","90","-0.8","-8.1","-10.5","-0.1","125","83","22","3","48","5","138","7","1","1","12","6","1",".320","-3.9","63","7208","435181"
"2013","Mitch Moreland","TEX","147","518","23","60","60","0",".206",".255",".232",".299",".437",".320","95","-2.1","-5.3","-4.9","0.7","107","59","24","1","45","1","117","3","8","0","11","0","0",".320","2.5","59","3086","519048"
"1918","Tommy Griffith","CIN","118","478","2","47","48","10",".056",".281",".265",".326",".321",".320","101","-0.7","0.0","-7.8","0.8","113","97","10","4","39","","30","0","","12","","10","",".320","0.9","47","1005053","115153"
"1905","Buck Freeman","BOS","130","515","3","59","49","8",".099","",".240",".316",".338",".320","105","-1.7","1.2","-8.8","1.0","109","78","20","8","46","","","5","","9","","8","",".320","4.4","59","1004316","114406"
"1891","Al Myers","PHI","135","592","2","67","69","8",".072",".249",".230",".331",".302",".320","90","-4.1","-12.7","6.5","1.5","118","87","27","2","69","","46","9","","","","8","",".320","-5.5","81","1009416","119620"
"1915","Shano Collins","CHW","153","650","2","73","85","38",".111",".279",".257",".298",".368",".320","97","0.4","-1.9","-2.1","1.9","148","105","24","17","28","","50","6","","40","","38","19",".320","0.7","67","1002466","112513"
"2017","Ryon Healy","OAK","149","605","25","66","78","0",".181",".319",".271",".302",".451",".320","101","-1.8","-0.8","-20.0","-0.1","156","102","29","0","23","0","142","4","2","0","16","0","1",".320","-0.6","73","15447","592387"
"1955","Jim Gilliam","BRO","147","627","7","110","40","15",".106",".256",".249",".341",".355",".320","85","-2.6","-14.0","11.6","1.5","134","99","20","8","70","4","37","6","2","11","8","15","15",".320","-3.5","70","1004724","114810"
"1956","Marv Blaylock","PHI","136","522","10","61","50","5",".130",".290",".254",".327",".385",".320","94","0.9","-2.6","-4.9","0.7","117","85","14","8","50","2","86","2","5","5","10","5","1",".320","-2.4","58","1001066","111093"
"1989","Jack Howell","CAL","144","533","20","56","52","0",".184",".267",".228",".308",".411",".320","102","-1.4","-0.1","9.7","2.8","108","65","19","4","52","9","125","3","1","3","8","0","3",".320","2.6","61","1006099","116225"
"1954","Whitey Lockman","NYG","148","639","16","73","60","2",".125",".240",".251",".318",".375",".320","81","0.1","-15.4","-15.0","-1.1","143","107","17","3","59","","31","0","6","4","3","2","2",".320","-6.6","66","1007694","117857"
"1922","Bill Wambsganss","CLE","142","644","0","89","47","17",".063",".275",".262",".341",".325",".320","77","-0.4","-20.5","-6.2","-0.5","141","113","22","6","60","","26","4","","42","","17","10",".320","-14.3","69","1013595","123903"
"2004","Rob Mackowiak","PIT","155","555","17","65","75","13",".173",".283",".246",".319",".420",".320","89","2.5","-5.3","-1.3","1.2","121","76","22","6","50","2","114","6","7","1","3","13","4",".320","-4.9","64","995","406670"
"1928","Newt Joseph","KCM","76","308","2","43","38","20",".079","",".260",".334",".339",".320","87","3.6","-1.5","1.3","1.0","72","56","12","2","29","","","2","","11","","20","",".320","-5.6","33","1015668",""
"1992","Kevin Seitzer","MIL","148","615","5","74","71","13",".096",".282",".270",".337",".367",".320","99","-1.8","-2.7","8.3","2.6","146","105","35","1","57","4","44","2","9","7","16","13","11",".320","1.4","68","1011730","121983"
"1907","Danny Hoffman","NYH","136","583","5","81","46","30",".060","",".253",".325",".313",".320","100","1.9","2.0","-7.3","1.5","131","113","10","3","42","","","13","","11","","30","",".320","5.7","62","1005902","116024"
"1914","Roy Hartzell","NYY","137","577","1","55","32","22",".075",".251",".233",".335",".308",".320","95","-6.5","-9.4","-2.2","1.1","112","87","15","9","68","","38","6","","22","","22","25",".320","-0.6","60","1005468","115581"
"1889","Ned Hanlon","PIT","116","521","2","81","37","53",".087",".249",".239",".326",".325",".320","96","4.7","1.0","-5.7","1.5","110","84","14","10","58","","25","2","","","","53","",".320","-5.9","74","1005314","115424"
"1957","Johnny Logan","MIL","129","541","10","59","49","5",".128",".285",".273",".319",".401",".320","100","1.4","1.2","20.9","3.9","135","99","19","7","31","2","49","4","4","8","14","5","0",".320","0.4","61","1007705","117867"
"1985","Dave Kingman","OAK","158","666","30","66","91","3",".179",".243",".238",".309",".417",".320","102","-0.4","1.1","-16.5","0.7","141","95","16","0","62","6","114","2","8","2","17","3","2",".320","1.1","77","1006939","117092"
"1975","Hank Aaron","MIL","137","543","12","45","60","0",".120",".238",".234",".332",".355",".320","98","-0.3","-1.6","-14.9","0.1","109","79","16","2","70","3","51","1","6","1","15","0","1",".320","-0.6","59","1000001","110001"
"2021","Jonathan Villar","NYM","142","505","18","63","42","14",".167",".313",".249",".322",".416",".320","105","3.6","6.8","1.3","2.5","113","75","18","2","46","2","132","3","0","2","6","14","7",".320","2.2","63","10071","542340"
"1919","Whitey Witt","PHA","122","518","0","56","33","11",".059",".283",".267",".334",".326",".320","85","-0.6","-10.0","-11.4","-0.3","123","102","15","6","46","","26","0","","12","","11","",".320","-0.8","53","1014175","124490"
"1947","Johnie Scott","KCM","65","260","2","42","27","12",".116","",".257",".312",".373",".320","81","2.2","-4.0","-3.1","0.3","62","44","10","6","19","","","0","","0","","12","",".320","-3.4","27","1016353",""
"1997","Gregg Jefferies","PHI","130","531","11","68","48","12",".134",".253",".256",".333",".391",".320","87","-0.1","-9.0","-2.3","0.6","122","83","25","3","53","7","27","2","0","0","8","12","6",".320","-5.6","60","1006379","116513"
"1919","Bill Wambsganss","CLE","139","587","2","60","60","18",".067",".288",".278",".323",".344",".320","84","0.6","-10.7","0.0","1.1","146","121","17","6","32","","24","3","","26","","18","",".320","-1.0","60","1013595","123903"
"2004","Brian Roberts","BAL","159","736","4","107","53","29",".103",".312",".273",".344",".376",".320","92","4.5","-3.2","4.4","2.6","175","119","50","2","71","1","95","1","6","15","3","29","12",".320","-6.6","85","166","406878"
"2022","Nico Hoerner","CHC","135","517","10","60","55","20",".129",".300",".281",".327",".410",".320","106","2.3","6.0","14.3","4.0","135","98","22","5","28","4","57","6","2","0","11","20","2",".320","4.0","63","21479","663538"
"1987","Willie McGee","STL","153","652","11","76","105","16",".148",".317",".285",".312",".434",".320","94","1.3","-3.7","-8.0","1.1","177","118","37","11","24","5","90","2","5","1","24","16","4",".320","-3.3","77","1008513","118694"
"1995","Greg Vaughn","MIL","108","451","17","67","59","10",".184",".245",".224",".317",".408",".320","84","0.2","-9.0","-11.2","-0.5","88","51","19","1","55","3","89","0","4","0","10","10","4",".320","-5.1","51","1233","123675"
"1888","Mike Griffin","BAL","137","602","0","103","46","46",".079","",".256",".331",".336",".320","113","0.2","10.8","-6.8","2.7","139","107","21","11","55","","","5","","","","46","",".320","12.7","92","1005047","115143"
"2017","Kendrys Morales","TOR","150","608","28","67","85","0",".196",".278",".250",".308",".445",".320","98","-9.4","-10.8","-14.8","-0.5","139","86","25","0","43","2","132","5","3","0","22","0","0",".320","-0.7","73","8610","434778"
"1891","Danny Richardson","NYG","123","549","4","85","51","28",".078",".278",".269",".313",".347",".320","94","0.6","-4.6","23.7","3.8","139","112","18","5","33","","27","0","","","","28","",".320","-5.3","75","1010904","121155"
"1902","Steve Brodie","NYG","109","452","3","37","42","11",".050","",".281",".327",".332",".320","104","-1.0","0.8","-0.7","1.6","117","104","8","2","22","","","6","","8","","11","",".320","-0.7","52","1001461","111499"
"1967","Mike Andrews","BOS","142","578","8","79","40","7",".089",".293",".263",".346",".352",".320","102","-0.7","0.5","2.3","2.1","130","102","20","0","62","4","72","2","2","18","9","7","7",".320","8.6","67","1000258","110270"
"1941","Johnny Ray","JRC","9","39","0","5","3","0",".000","",".226",".385",".226",".320","111","0.0","0.4","0.0","0.1","7","7","0","0","8","","","","","0","","0","",".320","-0.3","4","1016208",""
"2011","Vladimir Guerrero","BAL","145","590","13","60","63","2",".126",".302",".290",".317",".416",".320","96","-7.5","-10.2","-14.8","-0.6","163","119","30","1","17","3","56","7","4","0","23","2","2",".320","1.7","68","778","115223"
"1964","Walt Bond","HOU","148","597","20","63","85","2",".166",".270",".254",".310",".420",".320","108","-0.2","5.0","-19.1","0.8","138","95","16","7","38","8","90","8","4","4","11","2","2",".320","5.8","69","1001159","111187"
"1916","Eddie Foster","WAS","158","685","1","75","44","23",".064",".263",".252",".332",".317",".320","97","-3.1","-5.1","-3.4","1.5","153","125","18","9","68","","26","4","","7","","23","16",".320","3.2","69","1004248","114330"
"2014","Jimmy Rollins","PHI","138","609","17","78","55","28",".151",".269",".243",".323",".394",".319","103","5.4","7.7","8.3","3.8","131","88","22","4","64","2","100","1","3","3","6","28","6",".319","4.5","70","971","276519"
"2013","Jon Jay","STL","157","628","7","75","67","10",".095",".325",".276",".351",".370",".319","103","0.5","2.8","-5.2","1.8","151","115","27","2","52","7","103","14","5","9","13","10","5",".319","2.8","72","5227","445055"
"1910","Bobby Wallace","SLB","138","568","0","47","37","12",".065","",".258",".324",".323",".319","105","-1.8","1.1","12.3","3.3","131","105","19","7","49","","","1","","10","","12","",".319","0.6","59","1013542","123864"
"2021","Eric Hosmer","SDP","151","565","12","53","65","5",".126",".313",".269",".337",".395",".319","103","-5.5","-3.6","-9.4","0.6","137","97","28","0","48","2","99","5","2","1","13","5","4",".319","2.4","71","3516","543333"
"2023","J.D. Davis","SFG","111","429","15","46","56","1",".165",".321",".245",".323",".410",".319","101","-1.8","-1.1","3.5","1.7","92","61","15","1","41","0","126","5","5","0","13","1","0",".319","0.4","52","16219","605204"
"1933","Gus Mancuso","NYG","144","540","6","39","56","0",".081",".267",".264",".331",".345",".319","99","-0.3","-1.0","2.4","1.8","127","102","17","2","48","","21","0","","11","15","0","",".319","-4.3","60","1008051","118225"
"1924","Jigger Statz","CHC","135","601","3","69","49","13",".075",".300",".277",".325",".352",".319","82","-1.0","-15.2","1.8","0.8","152","122","22","5","37","","50","2","","13","","13","9",".319","-11.6","66","1012439","122698"
"1927","Sparky Adams","CHC","146","705","0","100","49","26",".048",".304",".292",".335",".340",".319","84","3.9","-11.3","17.7","3.0","189","165","17","7","42","","26","0","","16","","26","",".319","-13.8","76","1000063","110047"
"2006","Mark Grudzielanek","KCR","134","586","7","85","52","3",".111",".327",".297",".331",".409",".319","89","2.0","-6.1","13.6","2.7","163","120","32","4","28","4","69","2","5","3","12","3","2",".319","-6.0","67","653","115210"
"1884","Dick Johnston","RIC","39","148","2","23","0","",".144","",".281",".291",".425",".319","118","0.0","3.9","4.3","1.3","41","29","5","5","2","","","0","","","","","",".319","4.6","26","1006445","116647"
"1893","Charlie Reilly","PHI","104","458","4","64","56","13",".101",".261",".245",".314",".346",".319","77","-0.8","-18.6","3.2","0.3","102","75","16","7","33","","36","9","","","","13","",".319","-15.0","59","1010800","121035"
"1982","Chili Davis","SFG","154","701","19","86","76","24",".150",".288",".261",".308",".410",".319","102","-0.3","1.6","-5.5","2.1","167","115","27","6","45","2","115","2","6","7","13","24","13",".319","0.6","79","1003041","113099"
"1946","Murray Watkins","- - -","53","230","0","36","15","3",".030","",".266",".352",".296",".319","85","0.3","-3.7","7.6","1.3","54","48","6","0","25","0","","2","","5","","3","",".319","-1.6","24","1016688",""
"1951","Roy Hartsfield","BSN","120","497","6","63","31","7",".073",".313",".271",".333",".344",".319","88","1.0","-6.5","-7.5","0.3","122","103","11","2","41","","73","1","","5","5","7","2",".319","-6.6","52","1005463","115577"
"1881","John Morrill","BSN","81","323","1","47","39","",".090",".318",".289",".316",".379",".319","114","0.0","6.3","7.1","2.5","90","67","19","3","12","","30","","","","","","",".319","7.2","51","1009214","119393"
"1978","Dave Revering","OAK","152","553","16","49","46","0",".144",".275",".271",".303",".415",".319","102","-0.3","0.9","-9.1","1.0","141","101","21","3","26","5","55","0","4","2","12","0","1",".319","0.7","61","1010855","121092"
"1961","Frank Bolling","MIL","148","658","15","86","56","7",".118",".270",".262",".329",".379",".319","95","0.4","-3.5","17.6","3.6","153","118","16","4","57","1","62","3","3","10","25","7","3",".319","-2.3","75","1001147","111176"
"1888","Sam Wise","BSN","105","457","4","66","40","33",".132",".277",".240",".306",".372",".319","107","0.9","5.1","3.4","2.5","100","65","19","12","34","","66","6","","","","33","",".319","9.6","70","1014157","124475"
"1982","Jose Cruz","HOU","155","640","9","62","68","21",".102",".296",".275",".342",".377",".319","107","-0.1","5.0","-5.0","2.2","157","119","27","2","60","12","67","1","6","3","11","21","11",".319","0.5","72","1002841","112902"
"1957","Rip Repulski","PHI","134","548","20","65","68","7",".176",".267",".260",".290",".436",".319","93","1.3","-3.2","-9.3","0.4","134","87","23","4","19","0","74","5","5","3","10","7","1",".319","0.3","61","1010842","121079"
"1989","Kurt Stillwell","KCR","130","516","7","52","54","9",".119",".289",".261",".325",".380",".319","99","-0.7","-1.1","0.7","1.8","121","87","20","7","42","2","64","3","3","5","3","9","6",".319","2.3","58","1012536","122796"
"1934","Gordon Slade","CIN","138","599","4","61","52","6",".085",".298",".285",".320",".369",".319","85","0.8","-10.9","0.2","0.9","158","127","19","8","25","","34","4","","15","11","6","",".319","-10.4","65","1012047","122305"
"1919","Carson Bigbee","PIT","125","525","2","61","27","31",".052",".289",".276",".332",".328",".319","99","3.2","2.6","5.7","2.5","132","115","11","4","37","","26","3","","7","","31","",".319","-1.0","53","1000956","110984"
"2013","Brian Dozier","MIN","147","623","18","72","66","14",".170",".278",".244",".312",".414",".319","99","2.0","1.5","5.5","2.9","136","81","33","4","51","0","120","6","4","3","14","14","7",".319","2.7","71","9810","572821"
"2014","Casey McGehee","MIA","160","691","4","56","76","4",".070",".335",".287",".355",".357",".319","104","-9.8","-7.0","3.3","1.9","177","143","29","1","67","3","102","1","7","0","31","4","2",".319","5.0","79","6086","431171"
"1943","Jo-Jo White","PHA","139","577","1","69","30","12",".068",".275",".248",".335",".316",".319","92","0.4","-4.6","-7.9","0.8","124","99","17","7","61","","51","4","","12","7","12","4",".319","-2.1","60","1013881","124179"
"1977","Mike Ivie","SDP","134","535","9","66","66","3",".123",".290",".272",".326",".395",".319","99","0.2","-0.7","-10.4","0.6","133","93","29","2","39","4","57","2","4","1","6","3","2",".319","-1.9","60","1006284","116415"
"1909","Frank Schulte","CHC","140","591","4","57","60","23",".093","",".264",".298",".357",".319","101","1.0","1.7","-10.9","1.2","142","111","16","11","24","","","2","","27","","23","",".319","4.9","62","1011631","121879"
"2005","Rob Mackowiak","PIT","142","512","9","57","58","8",".117",".330",".272",".337",".389",".319","92","0.8","-4.2","7.7","2.0","126","93","21","3","43","4","100","3","1","2","7","8","4",".319","-2.8","59","995","406670"
"1984","Ben Oglivie","MIL","131","509","12","49","60","0",".121",".276",".262",".327",".384",".319","99","-2.4","-2.7","-13.5","0.0","121","91","16","2","44","5","56","1","2","1","12","0","6",".319","0.7","58","1009746","119954"
"2013","Josh Hamilton","LAA","151","636","21","73","79","4",".182",".303",".250",".307",".432",".319","105","1.9","5.7","-14.2","1.3","144","86","32","5","47","4","158","4","9","0","16","4","0",".319","2.7","72","1875","285078"
"1941","Pinky May","PHI","142","555","0","46","39","2",".051",".285",".267",".344",".318",".319","92","-0.1","-5.5","5.0","1.7","131","110","17","4","55","","30","2","","8","18","2","",".319","-5.1","60","1008309","118475"
"1932","Fox Blevins","LRG","11","43","0","4","3","0",".000","",".333",".349",".333",".319","119","0.0","0.7","0.2","0.2","14","14","0","0","1","","","0","","1","","0","",".319","-0.5","5","1014643",""
"1987","Gary Redus","CHW","130","554","12","78","48","52",".156",".263",".236",".328",".392",".319","92","5.5","0.1","5.6","2.4","112","68","26","6","69","0","90","0","7","3","7","52","11",".319","-3.0","65","1010758","120988"
"1993","Ivan Rodriguez","TEX","137","519","10","56","66","8",".140",".297",".273",".315",".412",".319","94","-1.2","-5.3","12.6","2.4","129","87","28","4","29","3","70","4","8","5","16","8","7",".319","-3.0","59","1275","121358"
"1935","Billy Myers","CIN","117","486","5","60","36","10",".112",".318",".267",".315",".380",".319","87","1.7","-6.3","0.9","1.1","119","89","15","10","29","","81","2","","10","6","10","",".319","-9.4","53","1009418","119630"
"1946","Sam Bankhead","HG","53","222","3","28","26","5",".073","",".268",".324",".341",".319","85","0.8","-3.2","16.3","2.2","55","47","4","1","16","0","","1","","6","","5","",".319","-1.6","23","1014551",""
"2009","Daniel Murphy","NYM","155","556","12","60","63","4",".161",".284",".266",".313",".427",".319","94","0.3","-3.7","-5.7","0.8","135","81","38","4","38","4","69","0","6","4","13","4","2",".319","-4.3","62","4316","502517"
"1991","Tony Fernandez","SDP","145","621","4","81","38","23",".088",".308",".272",".337",".360",".319","99","1.0","0.2","3.8","2.5","152","116","27","5","55","0","74","0","1","7","12","23","9",".319","0.6","71","1004002","114079"
"1927","Jack Warner","DET","139","629","1","78","45","14",".077",".288",".267",".330",".343",".319","75","0.0","-21.8","4.3","0.6","149","117","22","9","47","","45","6","","17","","14","4",".319","-12.4","68","1013633","123944"
"2022","Alex Verdugo","BOS","152","644","11","75","74","1",".125",".309",".280",".328",".405",".319","103","-1.1","0.8","-9.7","1.2","166","115","39","1","42","2","86","3","6","0","14","1","3",".319","4.9","78","17027","657077"
"1899","Bones Ely","PIT","138","578","3","66","72","8",".075","",".278",".313",".352",".319","83","-2.3","-16.4","19.3","2.4","145","118","18","6","22","","","5","","29","","8","",".319","-11.2","69","1003761","113832"
"2017","Melky Cabrera","- - -","156","666","17","78","85","1",".137",".299",".285",".324",".423",".319","98","-3.8","-5.1","-16.6","0.1","177","128","30","2","36","1","74","2","6","2","19","1","2",".319","-0.9","80","4022","466320"
"1979","Gene Richards","SDP","150","606","4","77","41","24",".086",".307",".279",".343",".365",".319","102","1.8","3.2","-6.9","1.7","152","122","17","9","47","6","62","8","3","3","7","24","8",".319","-2.3","68","1010907","121148"
"1932","Alex Radcliff","CAG","40","169","1","21","18","2",".072","",".268",".337",".340",".319","119","0.2","3.3","0.7","0.9","41","32","8","0","16","","","0","","5","","2","",".319","-2.0","19","1016199",""
"1886","Bill McClellan","BRO","141","653","1","131","68","43",".091","",".255",".322",".346",".319","106","3.1","8.9","0.6","3.0","152","109","33","9","56","","","2","","","","43","",".319","8.5","104","1008391","118575"
"1998","Mike Caruso","CHW","133","555","5","81","55","22",".084",".321",".306",".331",".390",".319","89","1.8","-5.9","3.9","1.7","160","132","17","6","14","0","38","7","3","8","8","22","6",".319","-5.6","63","595","134267"
"2012","Brett Lawrie","TOR","125","536","11","73","48","13",".132",".311",".273",".324",".405",".319","97","-0.3","-1.9","2.2","1.9","135","95","26","3","33","0","86","5","2","2","9","13","8",".319","1.8","63","5247","543434"
"1990","Hubie Brooks","LAD","153","618","20","74","91","2",".158",".290",".266",".307",".424",".319","99","-1.8","-2.8","-4.4","1.5","151","102","28","1","33","10","108","6","11","0","13","2","5",".319","0.2","69","1001472","111511"
"2011","Mitch Moreland","TEX","134","512","16","60","51","2",".155",".290",".259",".320",".414",".319","93","1.2","-3.1","-11.7","0.2","120","81","22","1","39","6","92","4","3","2","9","2","2",".319","1.3","59","3086","519048"
"1987","Jerry Browne","TEX","132","526","1","63","38","27",".068",".301",".271",".358",".339",".319","90","-2.1","-8.8","4.6","1.4","123","100","16","6","61","0","50","2","2","7","6","27","17",".319","-2.9","62","1001525","111606"
"1984","Vance Law","CHW","151","533","17","60","59","4",".152",".265",".252",".309",".403",".319","95","0.4","-2.7","-6.7","0.8","121","84","18","2","41","2","75","1","4","6","13","4","1",".319","0.7","60","1007409","117551"
